Agriculture_Land_Category_High_Agriculture_Land,Agriculture_Land_Category_Low_Agriculture_Land,Agriculture_Land_Category_Medium_Agriculture_Land,Aid_Category_High_Aid,Aid_Category_Low_Aid,Aid_Category_Medium_Aid,CO2_Category_High_CO2,CO2_Category_Low_CO2,CO2_Category_Medium_CO2,Corruption_Category_High_Corruption,Corruption_Category_Low_Corruption,Corruption_Category_Medium_Corruption,Country_Australia,Country_Brazil,Country_India,Country_Indonesia,Country_Russia,Forest_Loss_Category_High_Forest_Loss,Forest_Loss_Category_Low_Forest_Loss,Forest_Loss_Category_Medium_Forest_Loss,GDP_Category_High_GDP,GDP_Category_Low_GDP,GDP_Category_Medium_GDP,Illegal_Lumbering_Category_High_Illegal_Lumbering,Illegal_Lumbering_Category_Low_Illegal_Lumbering,Illegal_Lumbering_Category_Medium_Illegal_Lumbering,Policy_Category_Moderate_Policy,Policy_Category_Weak_Policy,Population_Category_High_Population,Population_Category_Low_Population,Population_Category_Medium_Population,Protected_Areas_Category_High_Protected_Area,Protected_Areas_Category_Low_Protected_Area,Protected_Areas_Category_Medium_Protected_Area,Rainfall_Category_High_Rainfall,Rainfall_Category_Low_Rainfall,Rainfall_Category_Medium_Rainfall,Tree_Cover_Loss_Category_High_Tree_Cover_Loss,Tree_Cover_Loss_Category_Low_Tree_Cover_Loss,Tree_Cover_Loss_Category_Medium_Tree_Cover_Loss,Year_Category_Middle_Year,Year_Category_Old_Year,Year_Category_Recent_Year
True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False
True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False
False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False
False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True
True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True
False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True
True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False
True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True
False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True
False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False
False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True
False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False
False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True
False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True
True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True
False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False
False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False
True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False
False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False
False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False
True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False
True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False
False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False
False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False
False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False
False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True
True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False
True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False
False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False
False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True
True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True
False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False
False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True
False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False
False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False
False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False
False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True
False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True
True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True
False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False
False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True
False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False
False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True
False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True
True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True
True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False
False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True
False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True
False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False
False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True
True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False
False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True
False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False
True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False
True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True
False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False
True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False
True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False
False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False
False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True
False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True
True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False
True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False
False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True
True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True
False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False
True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False
